ID_16S,ID_ITS,Jar_ID,Timepoint,Block,Mineral,Litter,respired_litter_c_perc,maom_formation_efficiency
LupLancExp1-1-A-A-12-1-34-16S-1,LupLancExp1-1-A-A-12-1-34-ITS-1,1_34,15 Days,4,Kaolinite,No Litter,0,NA
LupLancExp1-1-A-F-7-1-35-16S-1,LupLancExp1-1-A-F-7-1-35-ITS-1,1_35,15 Days,5,Kaolinite,No Litter,0,NA
LupLancExp1-1-A-G-11-1-41-16S-1,LupLancExp1-1-A-G-11-1-41-ITS-1,1_41,15 Days,1,Kaolinite,Winter Wheat,23.0400478,NA
LupLancExp1-2-B-E-1-1-42-16S-1,LupLancExp1-2-B-E-1-1-42-ITS-1,1_42,15 Days,2,Kaolinite,Winter Wheat,22.67902628,NA
LupLancExp1-1-A-C-8-1-43-16S-1,LupLancExp1-1-A-C-8-1-43-ITS-1,1_43,15 Days,3,Kaolinite,Winter Wheat,23.66795952,NA
LupLancExp1-2-B-H-2-1-44-16S-1,LupLancExp1-2-B-H-2-1-44-ITS-1,1_44,15 Days,4,Kaolinite,Winter Wheat,22.3303774,NA
LupLancExp1-1-A-C-9-1-45-16S-1,LupLancExp1-1-A-C-9-1-45-ITS-1,1_45,15 Days,5,Kaolinite,Winter Wheat,22.08332717,NA
LupLancExp1-1-A-G-10-1-36-16S-1,LupLancExp1-1-A-G-10-1-36-ITS-1,1_36,15 Days,1,Kaolinite,White Clover,39.16472626,NA
LupLancExp1-2-B-F-1-1-37-16S-1,LupLancExp1-2-B-F-1-1-37-ITS-1,1_37,15 Days,2,Kaolinite,White Clover,40.90297321,NA
LupLancExp1-1-A-B-12-1-38-16S-1,LupLancExp1-1-A-B-12-1-38-ITS-1,1_38,15 Days,3,Kaolinite,White Clover,38.80408158,NA
LupLancExp1-2-B-E-3-1-39-16S-1,LupLancExp1-2-B-E-3-1-39-ITS-1,1_39,15 Days,4,Kaolinite,White Clover,36.97348569,NA
,,1_40,15 Days,5,Kaolinite,White Clover,38.50140978,NA
LupLancExp1-1-A-F-12-1-46-16S-1,LupLancExp1-1-A-F-12-1-46-ITS-1,1_46,15 Days,1,Montmorillonite,No Litter,0,NA
LupLancExp1-2-B-B-2-1-47-16S-1,LupLancExp1-2-B-B-2-1-47-ITS-1,1_47,15 Days,2,Montmorillonite,No Litter,0,NA
LupLancExp1-2-B-D-3-1-48-16S-1,LupLancExp1-2-B-D-3-1-48-ITS-1,1_48,15 Days,3,Montmorillonite,No Litter,0,NA
LupLancExp1-1-A-C-11-1-49-16S-1,LupLancExp1-1-A-C-11-1-49-ITS-1,1_49,15 Days,4,Montmorillonite,No Litter,0,NA
LupLancExp1-1-A-E-12-1-50-16S-1,LupLancExp1-1-A-E-12-1-50-ITS-1,1_50,15 Days,5,Montmorillonite,No Litter,0,NA
LupLancExp1-2-B-F-2-1-56-16S-1,LupLancExp1-2-B-F-2-1-56-ITS-1,1_56,15 Days,1,Montmorillonite,Winter Wheat,19.65178285,NA
LupLancExp1-1-B-E-6-1-57-16S-1,LupLancExp1-1-A-A-7-1-57-ITS-1,1_57,15 Days,2,Montmorillonite,Winter Wheat,20.14462831,NA
LupLancExp1-1-A-E-9-1-58-16S-1,LupLancExp1-1-A-E-9-1-58-ITS-1,1_58,15 Days,3,Montmorillonite,Winter Wheat,19.39663542,NA
LupLancExp1-2-B-B-4-1-59-16S-1,LupLancExp1-2-B-B-4-1-59-ITS-1,1_59,15 Days,4,Montmorillonite,Winter Wheat,19.89583848,NA
LupLancExp1-1-A-B-5-1-60-16S-1,LupLancExp1-1-A-B-5-1-60-ITS-1,1_60,15 Days,5,Montmorillonite,Winter Wheat,18.29250722,NA
LupLancExp1-2-B-A-3-1-51-16S-1,LupLancExp1-2-B-A-3-1-51-ITS-1,1_51,15 Days,1,Montmorillonite,White Clover,33.20346106,NA
LupLancExp1-1-A-H-8-1-52-16S-1,LupLancExp1-1-A-H-8-1-52-ITS-1,1_52,15 Days,2,Montmorillonite,White Clover,33.73612147,NA
LupLancExp1-1-A-D-12-1-53-16S-1,LupLancExp1-1-A-D-12-1-53-ITS-1,1_53,15 Days,3,Montmorillonite,White Clover,35.0202985,NA
LupLancExp1-1-A-B-9-1-54-16S-1,LupLancExp1-1-A-B-9-1-54-ITS-1,1_54,15 Days,4,Montmorillonite,White Clover,31.70486934,NA
LupLancExp1-1-A-H-11-1-55-16S-1,LupLancExp1-1-A-H-11-1-55-ITS-1,1_55,15 Days,5,Montmorillonite,White Clover,29.9632493,NA
LupLancExp1-1-A-F-10-2-1-16S-1,LupLancExp1-1-A-F-10-2-1-ITS-1,2_1,126 Days,1,Unamended,No Litter,0,0
LupLancExp1-1-A-G-6-2-2-16S-1,LupLancExp1-1-A-G-6-2-2-ITS-1,2_2,126 Days,2,Unamended,No Litter,0,0
LupLancExp1-1-A-H-10-2-3-16S-1,LupLancExp1-1-A-H-10-2-3-ITS-1,2_3,126 Days,3,Unamended,No Litter,0,0
LupLancExp1-1-A-H-3-2-4-16S-1,LupLancExp1-1-A-H-3-2-4-ITS-1,2_4,126 Days,4,Unamended,No Litter,0,0
LupLancExp1-1-A-C-4-2-5-16S-1,LupLancExp1-1-A-C-4-2-5-ITS-1,2_5,126 Days,5,Unamended,No Litter,0,0
LupLancExp1-1-A-G-7-2-6-16S-1,LupLancExp1-1-A-G-7-2-6-ITS-1,2_6,126 Days,1,Unamended,Winter Wheat,66.45559178,0.264233895
LupLancExp1-1-A-C-2-2-7-16S-1,LupLancExp1-1-A-C-2-2-7-ITS-1,2_7,126 Days,2,Unamended,Winter Wheat,66.08571191,0.265969149
LupLancExp1-1-A-F-5-2-8-16S-1,LupLancExp1-1-A-F-5-2-8-ITS-1,2_8,126 Days,3,Unamended,Winter Wheat,62.94347521,0.273451344
LupLancExp1-1-A-E-6-2-9-16S-1,LupLancExp1-1-A-E-6-2-9-ITS-1,2_9,126 Days,4,Unamended,Winter Wheat,65.26157764,0.295094154
LupLancExp1-1-A-A-6-2-10-16S-1,LupLancExp1-1-A-A-6-2-10-ITS-1,2_10,126 Days,5,Unamended,Winter Wheat,62.41414674,0.29085074
LupLancExp1-1-A-D-4-2-11-16S-1,LupLancExp1-1-A-D-4-2-11-ITS-1,2_11,126 Days,1,Unamended,White Clover,75.02768351,0.254857182
LupLancExp1-1-A-G-3-2-12-16S-1,LupLancExp1-1-A-G-3-2-12-ITS-1,2_12,126 Days,2,Unamended,White Clover,73.45521129,0.250241262
LupLancExp1-1-A-D-5-2-13-16S-1,LupLancExp1-1-A-D-5-2-13-ITS-1,2_13,126 Days,3,Unamended,White Clover,71.40116009,0.278071515
LupLancExp1-1-B-D-6-2-14-16S-1,LupLancExp1-1-A-D-6-2-14-ITS-1,2_14,126 Days,4,Unamended,White Clover,71.04173959,0.250530122
LupLancExp1-1-A-D-10-2-15-16S-1,LupLancExp1-1-A-D-10-2-15-ITS-1,2_15,126 Days,5,Unamended,White Clover,71.29088096,0.240405185
LupLancExp1-1-A-H-1-2-16-16S-1,LupLancExp1-1-A-H-1-2-16-ITS-1,2_16,126 Days,1,Goethite,No Litter,0,0
LupLancExp1-1-A-H-4-2-17-16S-1,LupLancExp1-1-A-H-4-2-17-ITS-1,2_17,126 Days,2,Goethite,No Litter,0,0
LupLancExp1-1-A-H-6-2-18-16S-1,LupLancExp1-1-A-H-6-2-18-ITS-1,2_18,126 Days,3,Goethite,No Litter,0,0
LupLancExp1-1-A-E-3-2-19-16S-1,LupLancExp1-1-A-E-3-2-19-ITS-1,2_19,126 Days,4,Goethite,No Litter,0,0
LupLancExp1-1-A-G-2-2-20-16S-1,LupLancExp1-1-A-G-2-2-20-ITS-1,2_20,126 Days,5,Goethite,No Litter,0,0
LupLancExp1-1-A-A-4-2-21-16S-1,LupLancExp1-1-A-A-4-2-21-ITS-1,2_21,126 Days,1,Goethite,Winter Wheat,62.42354021,0.319106166
LupLancExp1-1-A-F-2-2-22-16S-1,LupLancExp1-1-A-F-2-2-22-ITS-1,2_22,126 Days,2,Goethite,Winter Wheat,62.41757354,0.313795471
LupLancExp1-1-B-C-6-2-23-16S-1,LupLancExp1-1-A-F-4-2-23-ITS-1,2_23,126 Days,3,Goethite,Winter Wheat,61.01809364,0.324940247
LupLancExp1-1-A-B-1-2-24-16S-1,LupLancExp1-1-A-B-1-2-24-ITS-1,2_24,126 Days,4,Goethite,Winter Wheat,63.23628646,0.308928677
LupLancExp1-1-B-A-6-2-25-16S-1,LupLancExp1-1-A-D-1-2-25-ITS-1,2_25,126 Days,5,Goethite,Winter Wheat,62.29884534,0.311607544
LupLancExp1-1-A-E-10-2-26-16S-1,LupLancExp1-1-A-E-10-2-26-ITS-1,2_26,126 Days,1,Goethite,White Clover,72.70791772,0.262538257
LupLancExp1-1-A-G-5-2-27-16S-1,LupLancExp1-1-A-G-5-2-27-ITS-1,2_27,126 Days,2,Goethite,White Clover,71.11833863,0.257169452
LupLancExp1-1-A-C-3-2-28-16S-1,LupLancExp1-1-A-C-3-2-28-ITS-1,2_28,126 Days,3,Goethite,White Clover,70.4529988,0.268987577
LupLancExp1-1-A-E-4-2-29-16S-1,LupLancExp1-1-A-E-4-2-29-ITS-1,2_29,126 Days,4,Goethite,White Clover,69.6781029,0.285503852
LupLancExp1-1-A-E-5-2-30-16S-1,LupLancExp1-1-A-E-5-2-30-ITS-1,2_30,126 Days,5,Goethite,White Clover,67.32109583,0.275323488
LupLancExp1-1-B-B-6-2-31-16S-1,LupLancExp1-1-A-D-3-2-31-ITS-1,2_31,126 Days,1,Kaolinite,No Litter,0,0
LupLancExp1-1-A-E-8-2-32-16S-1,LupLancExp1-1-A-E-8-2-32-ITS-1,2_32,126 Days,2,Kaolinite,No Litter,0,0
LupLancExp1-1-A-F-1-2-33-16S-1,LupLancExp1-1-A-F-1-2-33-ITS-1,2_33,126 Days,3,Kaolinite,No Litter,0,0
LupLancExp1-1-A-B-8-2-34-16S-1,LupLancExp1-1-A-B-8-2-34-ITS-1,2_34,126 Days,4,Kaolinite,No Litter,0,0
LupLancExp1-1-A-A-8-2-35-16S-1,LupLancExp1-1-A-A-8-2-35-ITS-1,2_35,126 Days,5,Kaolinite,No Litter,0,0
LupLancExp1-1-A-E-1-2-36-16S-1,LupLancExp1-1-A-E-1-2-36-ITS-1,2_36,126 Days,1,Kaolinite,Winter Wheat,64.63783319,0.301490967
LupLancExp1-1-A-C-5-2-37-16S-1,LupLancExp1-1-A-C-5-2-37-ITS-1,2_37,126 Days,2,Kaolinite,Winter Wheat,61.36898749,0.326689531
