index,predicted_copy_number
ASV472,2.620372662
ASV473,1.867432382
ASV474,7.738030982
ASV475,2.850505549
ASV476,2.320574265
ASV477,1.928759464
ASV478,1.952490312
ASV479,2.419033987
ASV480,2.98386963
ASV481,2.395012022
ASV482,10.37503387
ASV483,2.157103146
ASV484,2.043813057
ASV485,4.929187504
ASV486,2.577600245
ASV487,1.548594139
ASV488,1.570645976
ASV489,1.953814727
ASV490,1.714590629
ASV491,2.191120081
ASV492,1.281470282
ASV493,2.105828296
ASV494,3.686610019
ASV495,1.792640011
ASV496,1.852541414
ASV497,2.214253935
ASV498,4.586849056
ASV499,1.639264005
ASV500,1.876879194
ASV501,2.111094503
ASV502,1.998058181
ASV503,3.929505467
ASV504,2.501794487
ASV505,1.83593755
ASV506,1.654954506
ASV507,1.422218481
ASV508,3.038577692
ASV509,1.437381885
ASV510,3.349509392
ASV511,2.552202112
ASV512,2.730964
ASV513,1.326770332
ASV514,3.400988869
ASV515,1.251130356
ASV516,1.925614308
ASV517,3.521971926
ASV518,2.399259009
ASV519,1.818139957
ASV520,2.210513275
ASV521,1.488678221
ASV522,3.846418621
ASV523,3.364005834
ASV524,1.897637199
ASV525,1.329306688
ASV526,2.700433012
ASV527,4.126164375
ASV528,1.439651094
ASV529,6.454813284
ASV530,4.926831984
ASV531,1.395451915
ASV532,1.454840736
ASV533,1.431455684
ASV534,2.337252929
ASV535,2.228921261
ASV536,1.651644699
ASV537,1.477236142
ASV538,2.228159814
ASV539,3.061654226
ASV540,1.606544874
ASV541,2.062461539
ASV542,2.609821408
ASV543,3.02602773
ASV544,2.767388733
ASV545,4.006555197
ASV546,3.056619658
ASV547,1.652276571
ASV548,1.517413757
ASV549,2.784166353
ASV550,1.59376086
ASV551,1.491173486
ASV552,2.940997258
ASV553,1.17947631
ASV554,1.64389061
ASV555,2.419077995
ASV556,1.894545694
ASV557,2.990748372
ASV558,1.994263239
ASV559,2.701050601
ASV560,1.489913197
ASV561,2.087377037
ASV562,2.007182826
ASV563,1.459905473
ASV564,1.672807097
ASV565,3.351396467
ASV566,1.319049363
ASV567,3.311348658
ASV568,3.40344019
ASV569,4.020499333
ASV570,2.443252479
ASV571,2.01800767
ASV572,1.384110845
ASV573,2.806526433
ASV574,2.159374849
ASV575,9.411436441
ASV576,1.876868445
ASV577,1.624272473
ASV578,1.750236894
ASV579,1.63180696
ASV580,1.963016552
ASV581,1.323362022
ASV582,2.439095347
ASV583,1.668031005
ASV584,1.414028928
ASV585,4.593515902
ASV586,1.33178235
ASV587,1.703582629
ASV588,2.475580047
ASV589,2.342608895
ASV590,4.086436829
ASV591,2.949259552
ASV592,1.632099919
ASV593,1.98411948
ASV594,1.736620053
ASV595,4.011231311
ASV596,1.908034074
ASV597,1.42399914
ASV598,3.898536264
ASV599,3.9865741
ASV600,2.492111816
ASV601,2.634072591
ASV602,2.057330928
ASV603,2.248082491
ASV604,1.698867879
ASV605,2.068933077
ASV606,1.498362949
ASV607,1.44018905
ASV608,2.13235165
ASV609,2.107629843
ASV610,2.128362121
ASV611,1.761279686
ASV612,3.063674127
ASV613,1.951258279
ASV614,1.653809232
ASV615,3.330355166
ASV616,2.032039607
ASV617,1.353458196
ASV618,2.408142944
ASV619,1.519139357
ASV620,5.255970934
ASV621,2.23778616
ASV622,1.768366954
ASV623,1.341997508
ASV624,2.027797527
ASV625,2.026459991
ASV626,3.189111422
ASV627,2.153880935
ASV628,2.243649382
ASV629,2.046322332
ASV630,4.186329616
ASV631,3.167212421
ASV632,2.2779062
ASV633,1.908955582
ASV634,1.713184283
ASV635,1.674662265
ASV636,3.997411474
ASV637,3.049053639
ASV638,1.924418617
ASV639,2.163152304
ASV640,2.154546883
ASV641,2.250748304
ASV642,1.668874937
ASV643,2.65435768
ASV644,3.011979239
ASV645,1.901743608
ASV646,3.288360095
ASV647,2.357463037
ASV648,1.214640086
ASV649,1.699320989
ASV650,2.393432203
ASV651,2.990110975
ASV652,1.372696896
ASV653,1.343009007
ASV654,1.882335196
ASV655,1.720339744
ASV656,1.296652172
ASV657,2.585250107
ASV658,1.817303622
ASV659,2.391500086
ASV660,1.719110905
ASV661,1.706080064
ASV662,1.285594702
ASV663,1.491709332
ASV664,1.876149666
ASV665,2.694782267
ASV666,2.795226398
ASV667,3.632205141
ASV668,1.8702444
ASV669,1.88869333
ASV670,3.684163427
ASV671,2.845067521
ASV672,3.207545364
ASV673,1.779703352
ASV674,2.924660434
ASV675,1.200843954
ASV676,7.118412844
ASV677,2.380037502
ASV678,1.191426514
ASV679,3.32920413
ASV680,2.573343182
ASV681,3.225974355
ASV682,1.75454624
ASV683,2.390672162
ASV684,1.588071521
ASV685,2.43903185
ASV686,1.845751666
ASV687,1.609585645
ASV688,1.701059795
ASV689,1.783059893
ASV690,3.001453909
ASV691,1.752897781
ASV692,1.797317765
ASV693,2.417434675
ASV694,1.435787701
ASV695,1.962968709
ASV696,2.153326109
ASV697,3.394982288
ASV698,6.411687447
ASV699,2.218519158
ASV700,3.167007235
ASV701,2.211673884
ASV702,1.223416499
ASV703,2.898407712
ASV704,3.500430457
ASV705,1.909845717
ASV706,3.826971985
ASV707,2.361673179
ASV708,2.678521489
ASV709,1.398236871
ASV710,1.729605597
ASV711,1.800612215
ASV712,3.221132
ASV713,1.303041462
ASV714,1.99670124
ASV715,1.889313668
ASV716,3.500771999
ASV717,3.695007451
ASV718,1.474378178
ASV719,1.7495471
ASV720,1.589539243
ASV721,1.928765693
ASV722,1.511174651
ASV723,3.242624748
ASV724,3.758843587
ASV725,2.750060265
ASV726,2.225137513
ASV727,1.285342605
ASV728,1.545908034
ASV729,3.670114098
ASV730,2.628102184
ASV731,2.997211028
ASV732,1.764316236
ASV733,2.264630341
ASV734,7.043593137
ASV735,3.572850412
ASV736,1.854296497
ASV737,1.978764381
ASV738,2.691471063
ASV739,1.839726104
ASV740,3.942445578
ASV741,2.845075342
ASV742,2.649176329
ASV743,1.851572602
ASV744,1.078475508
ASV745,2.869338032
ASV746,2.679657446
ASV747,1.86345429
ASV748,1.800698356
ASV749,3.889635526
ASV750,2.297161591
ASV751,2.232018463
ASV752,1.636632294
ASV753,2.73216319
ASV754,2.599412435
ASV755,2.247480148
ASV756,1.566290011
ASV757,1.163383742
ASV758,2.184029779
ASV759,2.633824331
ASV760,2.021216812
ASV761,1.218378265
ASV762,2.26272617
ASV763,1.935457696
ASV764,1.397685563
ASV765,3.015186215
ASV766,1.575055979
ASV767,3.17165332
ASV768,1.957243076
ASV769,1.315792532
ASV770,2.552622109
ASV771,1.919147937
ASV772,1.677723096
ASV773,2.831442178
ASV774,1.995021653
ASV775,2.072865591
ASV776,1.823002027
ASV777,3.283506451
ASV778,2.723303834
ASV779,2.950898984
ASV780,1.320747103
ASV781,1.94246091
ASV782,1.658002497
ASV783,3.007482724
ASV784,2.377827817
ASV785,2.129201556
ASV786,6.281458439
ASV787,1.068044763
ASV788,3.39578442
ASV789,1.886619343
ASV790,2.046102105
ASV791,1.563087127
ASV792,5.474671808
ASV793,1.52372153
ASV794,2.332348482
ASV795,2.229664736
ASV796,2.127885434
ASV797,1.825829932
ASV798,3.432244069
ASV799,2.573601683
ASV800,2.734640165
ASV801,1.517192534
ASV802,2.686888393
ASV803,2.386182611
ASV804,2.502058264
ASV805,2.747571878
ASV806,2.585608079
ASV807,1.67176289
ASV808,2.41280838
ASV809,1.655057432
ASV810,1.550389351
ASV811,1.54329914
ASV812,9.312320163
ASV813,2.334916344
ASV814,1.846588724
ASV815,3.435392566
ASV816,2.66706305
ASV817,1.631793449
ASV818,1.898686906
ASV819,1.779921545
ASV820,4.869829251
ASV821,1.643971672
ASV822,2.035974879
ASV823,1.852079167
ASV824,1.317534266
ASV825,4.844514909
ASV826,1.310511398
ASV827,2.402406462
ASV828,1.529346566
ASV829,2.916719384
ASV830,2.323978317
ASV831,1.58889457
ASV832,2.672694515
ASV833,1.929500689
ASV834,7.634663231
ASV835,2.096883492
ASV836,1.801320689
ASV837,1.468165652
ASV838,1.512029619
ASV839,3.14217731
ASV840,1.437731737
ASV841,1.510891535
ASV842,1.964390823
ASV843,2.796952093
ASV844,1.729546098
ASV845,1.693106684
ASV846,2.805867026
ASV847,1.720533795
ASV848,2.11726206
ASV849,2.977768168
ASV850,2.346174014
ASV851,2.550220013
ASV852,13.80618632
ASV853,5.780929665
ASV854,1.171639011
ASV855,2.175318703
ASV856,3.507697552
ASV857,1.799922431
ASV858,2.312232735
ASV859,2.565813143
ASV860,1.57182057
ASV861,1.191994927
ASV862,2.753397731
ASV863,1.85204881
ASV864,1.867752331
